JOHN
time[s]       Fp1      Fp2       F7       F3       Fz       F4       F8       T3       C3       Cz       C4       T4       T5       P3       Pz       P4       T6       O1       O2      Ref     Drlv   Photic 
0.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 8415.000 -1.000
0.002 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 8903.000 -1.000
0.004 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 9306.000 -1.000
0.006 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 9620.000 -1.000
0.008 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 9841.000 -1.000
0.010 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 9967.000 -1.000
0.012 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 9999.000 -1.000
0.014 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 9934.000 -1.000
0.016 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 9773.000 -1.000
0.018 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 9519.000 -1.000
0.020 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 9174.000 -1.000
0.022 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 8740.000 -1.000
0.024 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 8223.000 -1.000
0.026 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 7626.000 -1.000
0.028 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 6957.000 -1.000
0.030 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 6220.000 -1.000
0.032 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 5424.000 -1.000
0.034 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 4576.000 -1.000
0.036 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 3684.000 -1.000
0.038 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 2756.000 -1.000
0.040 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 1802.000 -1.000
0.042 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 831.000 -1.000
0.044 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -148.000 -1.000
0.046 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1126.000 -1.000
0.048 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -2093.000 -1.000
0.050 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -3040.000 -1.000
0.052 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -3957.000 -1.000
0.054 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -4837.000 -1.000
0.056 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -5670.000 -1.000
0.058 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -6449.000 -1.000
0.060 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -7166.000 -1.000
0.062 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -7814.000 -1.000
0.064 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -8387.000 -1.000
0.066 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -8880.000 -1.000
0.068 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -9287.000 -1.000
0.070 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -9606.000 -1.000
0.072 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -9832.000 -1.000
0.074 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -9963.000 -1.000
0.076 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -9999.000 -1.000
0.078 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -9939.000 -1.000
0.080 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -9784.000 -1.000
0.082 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -9534.000 -1.000
